,open,high,low,close,quantity,quantity,quantity_exp_1,quantity_exp_1,quantity_exp_inv_1,quantity_exp_inv_1,quantity_pow_1,quantity_pow_1,quantity_exp_2,quantity_exp_2,quantity_exp_inv_2,quantity_exp_inv_2,quantity_pow_2,quantity_pow_2,quantity_exp_3,quantity_exp_3,quantity_exp_inv_3,quantity_exp_inv_3,quantity_pow_3,quantity_pow_3,quantity_exp_4,quantity_exp_4,quantity_exp_inv_4,quantity_exp_inv_4,quantity_pow_4,quantity_pow_4,quantity_exp_5,quantity_exp_5,quantity_exp_inv_5,quantity_exp_inv_5,quantity_pow_5,quantity_pow_5,quantity_exp_6,quantity_exp_6,quantity_exp_inv_6,quantity_exp_inv_6,quantity_pow_6,quantity_pow_6,quantity_exp_7,quantity_exp_7,quantity_exp_inv_7,quantity_exp_inv_7,quantity_pow_7,quantity_pow_7,quantity_exp_8,quantity_exp_8,quantity_exp_inv_8,quantity_exp_inv_8,quantity_pow_8,quantity_pow_8,quantity_exp_9,quantity_exp_9,quantity_exp_inv_9,quantity_exp_inv_9,quantity_pow_9,quantity_pow_9,quantity_exp_10,quantity_exp_10,quantity_exp_inv_10,quantity_exp_inv_10,quantity_pow_10,quantity_pow_10,quantity_exp_11,quantity_exp_11,quantity_exp_inv_11,quantity_exp_inv_11,quantity_pow_11,quantity_pow_11,quantity_exp_12,quantity_exp_12,quantity_exp_inv_12,quantity_exp_inv_12,quantity_pow_12,quantity_pow_12,quantity_exp_13,quantity_exp_13,quantity_exp_inv_13,quantity_exp_inv_13,quantity_pow_13,quantity_pow_13,quantity_exp_14,quantity_exp_14,quantity_exp_inv_14,quantity_exp_inv_14,quantity_pow_14,quantity_pow_14,quantity_exp_15,quantity_exp_15,quantity_exp_inv_15,quantity_exp_inv_15,quantity_pow_15,quantity_pow_15,quantity_exp_16,quantity_exp_16,quantity_exp_inv_16,quantity_exp_inv_16,quantity_pow_16,quantity_pow_16,quantity_exp_17,quantity_exp_17,quantity_exp_inv_17,quantity_exp_inv_17,quantity_pow_17,quantity_pow_17,quantity_exp_18,quantity_exp_18,quantity_exp_inv_18,quantity_exp_inv_18,quantity_pow_18,quantity_pow_18,quantity_exp_19,quantity_exp_19,quantity_exp_inv_19,quantity_exp_inv_19,quantity_pow_19,quantity_pow_19
open,1.0,0.9995414639387189,0.9995313494660424,0.9992983611046202,0.02508414007905614,-0.004065397691377072,0.021522295345805013,-0.0014754661274910662,-0.028374041430326395,0.005734486198510666,0.02508414007905614,-0.004065397691377072,0.01776752020407726,0.001626017260238569,-0.03138899383617252,0.006104012952357971,0.0015999260526115904,0.010425909221096707,0.014112092962443222,0.004534267014002463,-0.03414639484412894,0.005009552575615941,0.004543368673019772,0.005802694374246442,0.011104375296113264,0.006481152812379694,-0.03667000738779802,0.0029557195241118593,0.006006042011465425,0.004144938520884672,0.009153078143935569,0.007451251774422905,-0.03898547133864799,0.0008551807766103729,0.006821654787241037,0.00839131676658872,0.008170238037302288,0.0078956935916572,-0.04111787888721761,-0.0007273786959173187,0.00724876590712251,0.0059255487837954314,0.0078006252265422574,0.00812982784233233,-0.04309038408139946,-0.0017115060314045669,0.007510393051823828,0.008879654148274331,0.007736621706903185,0.008280986674154207,-0.04492356898084401,-0.0022291763374098737,0.007703625096221176,0.007135873574079682,0.00779905444794385,0.008390784819637823,-0.04663530268449387,-0.002436910291102317,0.007863861647106953,0.008910318397664022,0.007902295791349698,0.008473123944084152,-0.048240874814655034,-0.002455872679445659,0.008002325903824147,0.007833925162114947,0.008010559236731702,0.008534533097128453,-0.049753257036584266,-0.0023670370496533845,0.00812229384615482,0.008853869747877673,0.008110834394247418,0.008579670189442631,-0.0511834064788978,-0.0022208066642788724,0.008225090512933148,0.008225902637874311,0.008199477009147185,0.008612401613835481,-0.05254056514711894,-0.0020472991044703484,0.00831195097466415,0.008794951856698128,0.00827632326162291,0.008635900194114617,-0.053832533516224176,-0.0018640238532497964,0.008384395013891153,0.008442967121226828,0.008342331394288695,0.008652658036053673,-0.05506590999681079,-0.0016809268684194678,0.008444151464795909,0.008751208261111526,0.008398718464769023,0.00866455951273849,-0.05624629511310616,-0.001503503114078099,0.008493000774979496,0.008562102534880895,0.00844667890231233,0.008672991719789065,-0.057378462720856935,-0.0013346522571212097,0.008532647356924359,0.008722762291906622,0.00848730911322969,0.008678958072950967,-0.05846650205599149,-0.0011757653826428725,0.008564641831010649,0.008626920490659794,0.008521596183403361,0.008683176740701877,-0.0595139347858042,-0.0010273570966551039,0.008590345190782873,0.008705757451624996
high,0.9995414639387189,1.0,0.9992565558296085,0.9996780459231364,0.03949525549215792,0.00603688852245981,0.03497293254863453,0.009017182071802264,-0.043292434575943214,-0.0031298986231288275,0.03949525549215792,0.00603688852245981,0.02956901584280912,0.011309585692683158,-0.04654781089907099,-0.0009117546269703352,0.008993961547485286,0.015447300904917381,0.023498871910778707,0.012081242050664872,-0.049391967272958,0.00014216121361630308,0.008144276616057195,0.007585012155217812,0.01771574524112609,0.011361676139191089,-0.05191313656445957,3.75889831388046e-05,0.007676226882879973,0.004915711384874177,0.013323317928563436,0.010188316898981352,-0.05417377829879084,-0.0006818841300581515,0.00756685800829257,0.008539227136646451,0.010600461486072748,0.009287004793389174,-0.056220491455457745,-0.00145471527298168,0.007535562251935773,0.005932409050323659,0.00913587473997458,0.008766014676745688,-0.058089313971237296,-0.0020180112847637973,0.007561050101763872,0.008727984895989242,0.008422640276151706,0.00851194165245414,-0.059808720392667866,-0.002333139755321017,0.007628495731622253,0.0069767895435154425,0.008108413390770747,0.00840735909467178,-0.06140150011368267,-0.0024490898485472214,0.007719991025076642,0.008695013092679954,0.00799350420933401,0.00837629228642973,-0.06288604686743741,-0.002429182244684353,0.007820209516907185,0.007630641659612879,0.007974336058269662,0.00837727926917598,-0.06427730129647671,-0.002325648494350319,0.007918663211677437,0.008624489712263678,0.00799917338486077,0.008389870646280677,-0.06558746633661197,-0.0021752833725147596,0.00800930118774073,0.00800823195200752,0.008042489416276699,0.008404849633845635,-0.06682656181170814,-0.0020019921206388415,0.008089301724488891,0.008562851249232162,0.008091706901331288,0.008418539093019574,-0.06800285946031409,-0.0018205456641834897,0.00815790934603915,0.008219535360179388,0.008140658462431399,0.008429809660785229,-0.06912322643772273,-0.0016397329650919786,0.00821555885161256,0.008519005628566341,0.008186405671081993,0.00843860708356231,-0.07019339762433686,-0.0014645908775494016,0.008263287908095392,0.008335910146701162,0.008227677383763024,0.008445266376380232,-0.07121819207376116,-0.0012978591527447265,0.008302372428052198,0.008490970405066472,0.008264081992592336,0.008450212045700099,-0.07220168542997266,-0.00114088999265939,0.008334115576961088,0.008399227422187216,0.008295694318565644,0.00845383947800515,-0.07314734755121456,-0.0009942041797823037,0.008359735884201008,0.008474388077626665
low,0.9995313494660424,0.9992565558296085,1.0,0.9996132370541567,0.015762781390601017,-0.010902110365087285,0.012115990654897575,-0.009573440547065338,-0.019076964728690252,0.011274563949273382,0.015762781390601017,-0.010902110365087285,0.0082548707971493,-0.007596044772286898,-0.022067458242373484,0.010275820055509045,-0.005750247111664687,0.0036317724589348664,0.0045900794971836315,-0.0052980786316008536,-0.0247736050063526,0.007801964283657637,-0.003184672580474543,-0.0009225126083315978,0.0017627165654317259,-0.003263097696504577,-0.027235696290315324,0.004573602703103959,-0.001984236987101959,-0.003135722158928925,0.00010738738591588079,-0.0018756193634443907,-0.02948898135392906,0.0016692459513228065,-0.0013263966150890024,0.0009877305469380036,-0.0006031526004501435,-0.0010457121545134427,-0.031563319101767066,-0.00037240116384307215,-0.0009843822398117224,-0.001769776971768387,-0.0007842564362302491,-0.0005533339163778276,-0.033483831840887976,-0.0015885053143565003,-0.000767107385840241,0.001080443123920614,-0.0007351248944905651,-0.0002478364245421115,-0.03527161305854209,-0.002213604030096928,-0.0005962062525117243,-0.0008272360265613465,-0.0006088612482958789,-4.9063035682223934e-05,-0.0369443484748626,-0.002467172720026905,-0.00044654675152230953,0.0008858208464844437,-0.0004699536232215199,8.456574461273733e-05,-0.038516850606170966,-0.002503619610462693,-0.00031246488094835645,-0.00028518176208755,-0.0003411920227656435,0.00017607133386845385,-0.04000152007868561,-0.0024200958285272045,-0.00019369854848890004,0.00070410822472275,-0.00022846966596176156,0.0002393338110362207,-0.0414087429037739,-0.002274429084898232,-9.055648087728477e-05,2.0068385454417152e-05,-0.0001317351244184821,0.00028329371971517954,-0.042747230087693086,-0.0020999510539643418,-2.6809778101027947e-06,0.0005759044003595492,-4.926785088897244e-05,0.00031393724184797624,-0.04402430517210192,-0.0019154559088671367,7.098821726245299e-05,0.00018979783777698509,2.085961823485752e-05,0.00033534946214604293,-0.04524614537453785,-0.001731332668117393,0.00013195122211187975,0.0004937218668396654,8.03805050284871e-05,0.0003503423886984104,-0.04641798213333257,-0.0015531757495300799,0.00018188585150058818,0.00028331683096632834,0.00013078118058357515,0.000360860075833744,-0.04754426677090865,-0.001383859303372415,0.00022246099553973798,0.00044382594995154577,0.00017333674910368946,0.0003682504641983356,-0.04862880665030077,-0.0012247147461495755,0.0002552257701031153,0.00033436136755426944,0.00020915320292844527,0.0003734506662423806,-0.04967487668709294,-0.001076197278978892,0.0002815553683090815,0.00041476740705389306
close,0.9992983611046202,0.9996780459231364,0.9996132370541567,1.0,0.029486236949719302,-0.0010819141407902265,0.024975624191568502,0.0006892137961794425,-0.03326111266068748,0.002679709662933088,0.029486236949719302,-0.0010819141407902265,0.01962971859771357,0.0020005051804377685,-0.03647744994361691,0.0034823735950599817,0.0014689631664043061,0.00870166618023458,0.01377789296880952,0.0023777049025953774,-0.03927512956604728,0.0031010626341043657,0.0006618783270476943,0.0012280160878659512,0.00841885990429893,0.0019518840486872108,-0.041750967727031865,0.0017779894129626949,0.00010723635630936399,-0.0018143532376657858,0.00452264424236415,0.0013309060889290453,-0.043972167893357894,0.00023006793222549025,-8.685826369525717e-05,0.0016339681056459457,0.002206848986866638,0.0008852073899319135,-0.04598710876743225,-0.0010118034550635276,-0.00016934555909407927,-0.0011683629597961896,0.0010117021731313703,0.0006537106661501299,-0.0478319455647488,-0.0018097190459433108,-0.00017082038815016497,0.0014572190988469437,0.0004577220311893736,0.0005655039450297169,-0.04953450957881864,-0.00223247832461753,-0.00011631896713118366,-0.0003950186801302316,0.00023312854808919147,0.0005523377672832594,-0.051116687561382615,-0.0023942578941120174,-3.0261256460641156e-05,0.0012120903923937755,0.00016831141045445843,0.0005712429536891867,-0.052595954510270326,-0.002392351387294046,6.837953225395531e-05,9.563675736499332e-05,0.000177777189609726,0.0005997619553061706,-0.053986418158863965,-0.002295247243340829,0.00016715359662287422,0.0010242234214586853,0.00021971425199894412,0.0006277748135197565,-0.05529956593276719,-0.002147030331855045,0.00025896791780897495,0.00038095989716329813,0.0002738282781447534,0.0006515731234030923,-0.05654481920970773,-0.0019746532854677955,0.0003404529811715648,0.00089876431892002,0.00033027144264533015,0.0006704189121031036,-0.057729955448026594,-0.0017940324014896754,0.00041057249371756195,0.0005412862283757015,0.0003843153140002979,0.0006847697537477197,-0.05886143536077571,-0.0016142984868330757,0.00046962570043412486,0.0008203466355783187,0.00043380229472462356,0.0006954440913483715,-0.05994465943474826,-0.0014405193646728918,0.000518593684535864,0.0006297161212152707,0.00047790435904338104,0.0007032673780961195,-0.060984170601233324,-0.0012753650172425037,0.0005587379674274111,0.0007735680505548253,0.0005164959655101904,0.0007089460662073578,-0.06198381521920821,-0.0011201005524339477,0.0005913688714487711,0.0006777447308900372,0.0005498217687226463,0.0007130412492840039,-0.06294687146073222,-0.0009751712820289712,0.0006177220388665717,0.0007467993689865806
quantity,0.02508414007905614,0.03949525549215792,0.015762781390601017,0.029486236949719302,1.0,0.5024360823442842,0.9891811870488242,0.5928619879679796,-0.9936730811435308,-0.38852906872968906,1.0,0.5024360823442842,0.9441524975907938,0.6362637215504512,-0.9800739771431907,-0.26380245144593945,0.7585017515302283,0.5532809129973703,0.8490491406281331,0.6041944333068842,-0.9638273457166041,-0.1444353984640156,0.5599311561540927,0.29472987943965306,0.7134210870026934,0.5117970597614113,-0.9469611269098892,-0.05170914677305906,0.4355317241538733,0.3121854966143474,0.5752175642473196,0.41436098625487594,-0.9303502212016174,0.004909934877108144,0.3632629184991635,0.22335531281018461,0.46476286416092616,0.3427110718229554,-0.9143625347787988,0.03290931696307316,0.3198264188238915,0.25638737418148805,0.3877482558320797,0.297383980540554,-0.8991373439778806,0.04440810874691344,0.2925171230138988,0.21335076886049759,0.33709868128626913,0.2702991633390765,-0.8847078205266974,0.04806795541363794,0.27462347011467836,0.2422929934796497,0.30422225770897826,0.2543691952284743,-0.871057316718016,0.04851815717086637,0.2624894040793345,0.21537966736148273,0.2826569938618869,0.24496953923191592,-0.8581464146280258,0.047883345341003795,0.2540282566228479,0.237705170541538,0.26820360910135643,0.23935365159576125,-0.8459264087561782,0.047029273012097556,0.24799339004516702,0.21898961841157763,0.2582685114939898,0.235942073366176,-0.8343461666313828,0.04625738660422945,0.24360921514836123,0.23558831664282578,0.25126610135915833,0.2338319856243057,-0.8233556113204823,0.045639592781713895,0.24037605947524351,0.2220693282279266,0.2462171860206492,0.23250368282288783,-0.8129074216404171,0.04516606003529537,0.23796223333415661,0.2342564418249647,0.24250445930464903,0.23165376300806595,-0.8029577721938926,0.04480536580307427,0.23614182161886038,0.22435875004093378,0.23972869725278906,0.23110196037137365,-0.7934665531469103,0.04452632729371013,0.23475750162944053,0.23327262975632007,0.23762468782380916,0.2307391295704722,-0.7843973119737302,0.04430421731799611,0.2336975971655288,0.22598943052851272,0.2360116126130704,0.23049793866672597,-0.775717053067656,0.04412122016129896,0.23288151209108232,0.232507321936844,0.2347632193769806,0.2303361119075314,-0.7673959721053409,0.04396515029658223,0.23225024667342986,0.22713659002605183
quantity,-0.004065397691377072,0.00603688852245981,-0.010902110365087285,-0.0010819141407902265,0.5024360823442842,1.0,0.5230861880538707,0.9776443094387592,-0.4778242704340244,-0.9791613406803897,0.5024360823442842,1.0,0.529783333999892,0.8975968124859202,-0.4538165450895547,-0.9114819508579776,0.5019238681201067,0.07878348085099547,0.5095566938865922,0.7480308194567734,-0.43191726010467035,-0.7930836903429185,0.40850575943692374,0.5532650963920113,0.46047505416118134,0.5705300417351885,-0.41239103774302716,-0.6471630068498351,0.3370033128683529,0.0814384063798888,0.399486603658338,0.4279560307537715,-0.3950819679266252,-0.5139211332258832,0.2931308313104831,0.3714376198990744,0.34529365181802846,0.3374076340448801,-0.37972222615367207,-0.4149923852955749,0.26681445683204896,0.110584317343528,0.3049107740873502,0.28547680050818924,-0.36603861997374315,-0.3491750429107572,0.25064103103818547,0.3086418614694016,0.2771541478999334,0.25658162429626175,-0.3537855874761981,-0.3071871238303647,0.2403575503413266,0.13907821242758794,0.2586232521438579,0.24045583334158083,-0.3427523384711755,-0.28042937734282714,0.23360296011519072,0.2784348262279089,0.24628472735090928,0.2312927283579271,-0.33276128722689513,-0.2629636792748084,0.22903896530245613,0.1612636289681021,0.23798393018764888,0.22595819326959873,-0.32366392162144114,-0.2511011141979008,0.22588039333179394,0.26020563537892344,0.23230827750132546,0.22277151740984788,-0.3153362967959575,-0.2426424783512941,0.22364994799740692,0.1774273482196951,0.22835635926536593,0.2208204149532231,-0.30767489646851715,-0.23629280289475385,0.22204789304100253,0.24799241593537197,0.22555456778196065,0.21959901762145667,-0.30059306899724014,-0.23128773104305064,0.2208805099158811,0.1889211244966715,0.22353446040293667,0.21881956820621068,-0.294018047218719,-0.22717127620584665,0.22001940939401762,0.2394542581272489,0.22205568617760005,0.21831397834595762,-0.28788849253813037,-0.22366716272701653,0.219377602795445,0.19703277709595604,0.2209585730903712,0.2179815232125523,-0.282152485816723,-0.2206048342827102,0.2188949970245812,0.2333750461353102,0.2201350200321016,0.21776041800903514,-0.2767658892479744,-0.21787671234116518,0.21852936151321137,0.20275877899823352,0.2195104775260542,0.2176119723055914,-0.27169101199808204,-0.21541324625703498,0.2182505656504123,0.22900609612662506
quantity_exp_1,0.021522295345805013,0.03497293254863453,0.012115990654897575,0.024975624191568502,0.9891811870488242,0.5230861880538707,1.0,0.6278975766748676,-0.9667713576670536,-0.4010806764987507,0.9891811870488242,0.5230861880538707,0.9819610100501013,0.6920372009020924,-0.9414606122579419,-0.2726341495302166,0.8453635599305407,0.6087271634089183,0.9153055840640328,0.6816296359704069,-0.9166430205697206,-0.1519770065843828,0.6721616530022423,0.3809371156559779,0.8025242379447307,0.6036552419087379,-0.8934131947578331,-0.0588383076489531,0.5512564846619367,0.3946888915315864,0.6774574901384729,0.5121430324292655,-0.8719991072547062,-0.0018656475786374327,0.4763315786345103,0.31400773761133294,0.5720887540674107,0.44174995009899604,-0.8523297812910272,0.02659082809952733,0.42929219481354564,0.3438465646303361,0.4956960764244687,0.39599073720933065,-0.8342452154206961,0.03857042688766298,0.3987744392043132,0.3056525977668321,0.44378927638607574,0.36808562856232546,-0.8175712331471305,0.04265697733883087,0.3783045787207101,0.33250612316066286,0.40910412058776247,0.3513878209158462,-0.8021446801264916,0.04344980141115317,0.36417162745862264,0.30889263308639164,0.38574816133870937,0.34138195363435647,-0.7878205136909251,0.043075202123970806,0.35417627456939055,0.32969178933341425,0.3697247590279793,0.33531975414678433,-0.7744724016309594,0.042413478465089034,0.34696589213616685,0.3132523423455872,0.358484234655931,0.33159048995609647,-0.7619911438568263,0.04178280591193679,0.34167932317383315,0.32868513853600284,0.3504234771518431,0.32925811911239694,-0.7502825246978514,0.04126956043914099,0.3377512274176558,0.316743836335725,0.3445267430665272,0.3277756041807733,-0.7392651832024173,0.04087498518289679,0.33480037128582224,0.3280359408077757,0.3401383122518877,0.3268190925115925,-0.7288686979478626,0.0405755940797215,0.33256359238491673,0.31923959130836577,0.3368248112602713,0.3261936833839832,-0.7190319327012501,0.040345676915547156,0.33085550324531127,0.3274706111779492,0.334292664151738,0.3257799930880508,-0.709701633226827,0.04016419477406493,0.3295431859021249,0.32096265179388256,0.3323382269869621,0.3255036087968982,-0.7008312468826433,0.04001578614028088,0.3285298827649918,0.32696340483054454,0.33081715069993856,0.32531738337098626,-0.6923799328270505,0.0398898895383697,0.3277442346264444,0.3221429430311683
quantity_exp_1,-0.0014754661274910662,0.009017182071802264,-0.009573440547065338,0.0006892137961794425,0.5928619879679796,0.9776443094387592,0.6278975766748676,1.0,-0.5570091699091381,-0.9180085924290161,0.5928619879679796,0.9776443094387592,0.6511111505408362,0.9682911833120089,-0.5244773185425982,-0.8187102536013348,0.6355923199388573,0.28211807079337214,0.6457792892775385,0.8605961427363339,-0.49606091648532713,-0.6796861706769747,0.550766102299975,0.60341317537237,0.6053736076040603,0.7067096608127326,-0.47143590766823823,-0.5265093667983202,0.4787290960149944,0.2646612793022302,0.5462113673840774,0.5712229944548922,-0.45003187610327866,-0.39579815127786866,0.4325626606114905,0.448504265330797,0.4900630354829483,0.4801152389990137,-0.43130234252148153,-0.3032892605785501,0.40410974470031086,0.2754348453691593,0.4467497984885416,0.4256165151330501,-0.4147870524544031,-0.24410171728160682,0.3862964452400034,0.4021796340867534,0.4163400775978219,0.3942231132968574,-0.40011259262283333,-0.20766016179421015,0.37482530754541754,0.29394498065162555,0.39573942614839297,0.37616814539819915,-0.3869785276879651,-0.18522205695397762,0.36722589759815716,0.3834397393816244,0.381873411956733,0.3656343295023822,-0.375142683929398,-0.17106724546262178,0.3620624741329293,0.3097063518208826,0.3724667854167041,0.35935954141769844,-0.364408795159275,-0.16177089252808466,0.35847689924275145,0.3731874414427737,0.36599333075023915,0.3555372248094365,-0.35461677451369256,-0.15535110927660564,0.3559402617048197,0.3213273685863074,0.3614638253204245,0.3531583982635181,-0.3456351834179513,-0.1506707026022529,0.35411699588669815,0.36648607866782973,0.35824121041677187,0.3516490777707781,-0.33735540708209194,-0.14707373259436782,0.3527885895540311,0.3295113034987461,0.3559122538782325,0.3506752583215841,-0.32968712930269534,-0.1441768028304806,0.35180942890050504,0.36175572553725455,0.3542051448023175,0.3500379312241775,-0.32255479508524354,-0.1417517177284359,0.35108047485020766,0.33519463179860676,0.3529380407387433,0.34961580006684473,-0.3158948278937471,-0.13965973499661982,0.35053313486952425,0.3583192433131092,0.351987108421994,0.3493333865449514,-0.30965342716015626,-0.13781447685695536,0.35011913351007623,0.3391375788022784,0.351266542760259,0.34914285514273774,-0.30378481494476517,-0.13616073848483876,0.34980400632838327,0.3557974292413181
quantity_exp_inv_1,-0.028374041430326395,-0.043292434575943214,-0.019076964728690252,-0.03326111266068748,-0.9936730811435308,-0.4778242704340244,-0.9667713576670536,-0.5570091699091381,1.0,0.3715186033997796,-0.9936730811435308,-0.4778242704340244,-0.9029568456769077,-0.5862177058635347,0.9961077324108212,0.251652079979013,-0.680833958632376,-0.5055935436555751,-0.789661191234067,-0.5413639667436975,0.9873195377172295,0.13540603503238055,-0.47183654027934646,-0.23129575557512294,-0.6412230875894371,-0.4424816348819435,0.9762523375551809,0.04475231879609927,-0.3504094747763745,-0.2543049931481182,-0.4974407850198047,-0.3441837463537605,0.9642160883710031,-0.010462362939795439,-0.28325181406529026,-0.16198250389717894,-0.38654086233869867,-0.273969426178684,0.9518885584639509,-0.037505590821877995,-0.24424200860341383,-0.1978850691061322,-0.31140509276047257,-0.23041124565906604,0.9396292341431584,-0.0483496574943287,-0.22032040053469537,-0.15233196191460388,-0.26324145234033897,-0.2047947332183678,0.9276295440224169,-0.05155775654415869,-0.20493746413002617,-0.18278956181991302,-0.23271698054579487,-0.18994241938514209,0.9159884101900881,-0.051693980656177474,-0.19465527538808797,-0.15401646792878296,-0.21313610262929508,-0.18129454820289917,0.904752266961269,-0.050839040173676686,-0.18756628011360713,-0.17731964910545528,-0.20027685455126967,-0.1761914031781797,0.8939372499765548,-0.04982861696156242,-0.1825558057097015,-0.1572861062746959,-0.19159495877883567,-0.17312623941398086,0.8835419588949968,-0.04894353450688122,-0.17894256778093615,-0.17458544338431362,-0.18556941446694317,-0.17124955598300365,0.8735550011832122,-0.048241680367315735,-0.17629399116362166,-0.16014672794782958,-0.1812806106338257,-0.17007865250854404,0.8639595337688282,-0.04770380692323633,-0.17432640501923266,-0.17285473229437137,-0.1781603007373277,-0.16933517274676282,0.854736024360221,-0.04729223384032708,-0.1728485971130931,-0.1623160269516988,-0.17584776587964435,-0.16885561677814043,0.8458639320318577,-0.046971648904929796,-0.17172859915011326,-0.17162064580846273,-0.17410738960604552,-0.16854202312521196,0.8373227204225241,-0.0467146077461357,-0.17087345834402992,-0.1638884978446622,-0.17278092481745513,-0.16833452488466036,0.829092454016594,-0.04650150392158227,-0.17021654231185473,-0.1706994433428221,-0.1717593172443629,-0.168195843679095,0.8211541323547872,-0.0463189645068208,-0.16970935737351733,-0.1650120189224721
quantity_exp_inv_1,0.005734486198510666,-0.0031298986231288275,0.011274563949273382,0.002679709662933088,-0.38852906872968906,-0.9791613406803897,-0.4010806764987507,-0.9180085924290161,0.3715186033997796,1.0,-0.38852906872968906,-0.9791613406803897,-0.4010584024340951,-0.8049473691916503,0.3540833453353267,0.9746080132956352,-0.3747690100195375,0.12129349299142907,-0.3788076371757443,-0.6354016207686809,0.3377582982440817,0.8929120430873376,-0.2925330729064252,-0.5483395523414031,-0.3343169028124989,-0.4546315391121813,0.3229782713171515,0.7709142458152881,-0.23163803359845617,0.0825046446452175,-0.28213285933977816,-0.3183064697514925,0.30975538304760714,0.6481451274400978,-0.19495936365235184,-0.3513649177408548,-0.23698698917847505,-0.23546447227109438,0.2979565241520522,0.5511778285054342,-0.17326700573132894,0.02592036876483422,-0.20383663064266644,-0.1896094742138796,0.2874109285689249,0.4835754848558337,-0.16007547597344024,-0.27182681725926927,-0.18125759591329457,-0.1648745772277179,0.2779504849516479,0.43866946991351036,-0.15174919381868407,-0.0184411569059211,-0.16627763953368058,-0.15145213341070113,0.26942362635180034,0.4089438448963321,-0.14630553945906355,-0.2283545037264556,-0.1563502208000701,-0.14401538860272914,0.26169878638848465,0.38880880874310925,-0.1426368918292147,-0.05104008514206939,-0.14969594047747453,-0.13978136855590706,0.25466380029595603,0.3746309646336107,-0.1401007774711026,-0.2003868468721158,-0.1451589894618053,-0.13730010639439624,0.24822386294653295,0.3641697957489846,-0.1383099786410026,-0.07447119678776934,-0.14200652750767867,-0.13580509329165982,0.24229912927589511,0.3560690900268914,-0.13702282533164545,-0.18121547945616626,-0.1397745947248872,-0.13488145631614215,0.23682239996910712,0.3495095001256522,-0.1360837898538293,-0.09114716935467376,-0.13816649538459744,-0.13429828155830326,0.23173705665213234,0.34399257819759305,-0.13539007582005555,-0.1677487255847018,-0.1369894454446934,-0.1339232399229947,0.22699528875934535,0.33921140360833085,-0.1348721417155042,-0.10298458583256276,-0.13611581973012885,-0.13367832604170654,0.22255660207486608,0.3349739974402406,-0.13448197553589805,-0.15817971856265928,-0.13545947124973115,-0.13351634814833582,0.21838657874537104,0.3311579542322662,-0.1341858311732025,-0.11140112145086177,-0.1349611343193265,-0.13340809158086217,0.21445585302761633,0.32768337706421463,-0.13395961316193722,-0.1513312120591357
