date-time,open,high,low,close,quantity,dont-know
2019-11-04T00:00:00+0530,616.0,616.0,616.0,616.0,0,0
2019-11-05T00:00:00+0530,616.0,616.0,616.0,616.0,0,0
2019-11-06T00:00:00+0530,623.0,623.0,623.0,623.0,0,0
2019-11-07T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-08T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-11T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-12T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-13T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-14T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-15T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-18T00:00:00+0530,631.0,631.0,631.0,631.0,0,0
2019-11-19T00:00:00+0530,650.0,650.0,650.0,650.0,0,0
2019-11-20T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-21T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-22T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-25T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-26T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-27T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-28T00:00:00+0530,670.0,670.0,670.0,670.0,0,0
2019-11-29T00:00:00+0530,680.0,680.0,680.0,680.0,0,0
2019-12-02T00:00:00+0530,690.0,690.0,690.0,690.0,0,0
2019-12-03T00:00:00+0530,690.0,690.0,690.0,690.0,0,0
2019-12-04T00:00:00+0530,697.0,697.0,697.0,697.0,0,0
2019-12-05T00:00:00+0530,701.0,701.0,701.0,701.0,0,0
2019-12-06T00:00:00+0530,701.0,701.0,701.0,701.0,0,0
2019-12-09T00:00:00+0530,724.0,724.0,724.0,724.0,0,0
2019-12-10T00:00:00+0530,724.0,724.0,724.0,724.0,0,0
2019-12-11T00:00:00+0530,724.0,724.0,724.0,724.0,0,0
2019-12-12T00:00:00+0530,724.0,724.0,724.0,724.0,0,0
2019-12-13T00:00:00+0530,724.0,724.0,724.0,724.0,0,0
2019-12-16T00:00:00+0530,735.0,735.0,735.0,735.0,0,0
2019-12-17T00:00:00+0530,735.0,735.0,735.0,735.0,0,0
2019-12-18T00:00:00+0530,735.0,735.0,735.0,735.0,0,0
