open,high,low,close
3844,3844,3784,3788
3789,3790,3786,3787
3788,3790,3787,3790
3790,3792,3789,3792
3792,3793,3790,3792
3792,3792,3791,3792
3792,3792,3790,3790
3790,3791,3790,3790
3790,3791,3788,3789
3790,3790,3788,3789
3789,3790,3786,3786
3786,3788,3786,3788
3788,3788,3784,3785
3785,3787,3783,3786
3786,3788,3786,3788
3787,3790,3787,3789
3789,3789,3788,3788
3788,3789,3786,3787
3787,3787,3783,3783
3783,3786,3783,3784
3784,3785,3781,3782
3781,3783,3781,3782
3782,3785,3782,3784
3785,3785,3783,3783
3783,3795,3783,3792
3792,3793,3789,3791
3791,3792,3789,3791
3791,3791,3787,3788
3788,3789,3787,3788
3788,3789,3785,3786
3785,3787,3783,3785
3784,3786,3784,3784
3785,3790,3782,3790
3788,3790,3786,3788
3788,3790,3788,3788
3788,3789,3785,3786
3786,3790,3785,3789
3789,3789,3786,3788
3788,3790,3788,3790
3789,3790,3786,3787
3788,3788,3781,3784
3785,3787,3783,3787
3787,3798,3787,3794
3795,3797,3792,3796
3796,3799,3795,3795
3795,3796,3793,3794
3794,3795,3785,3790
3790,3791,3783,3786
3786,3788,3784,3784
3784,3788,3784,3788
3788,3790,3786,3790
3790,3790,3783,3784
3784,3790,3784,3789
3789,3790,3783,3786
3786,3790,3784,3787
3787,3794,3787,3791
3791,3798,3788,3797
3797,3799,3794,3799
3799,3805,3798,3802
3803,3805,3794,3797
3797,3801,3787,3787
3788,3794,3785,3787
3787,3790,3771,3776
3778,3781,3776,3776
3775,3779,3775,3777
3777,3779,3765,3765
3766,3770,3762,3767
3767,3768,3762,3763
3763,3764,3759,3760
3760,3761,3746,3746
3746,3752,3735,3751
3751,3756,3745,3752
3753,3753,3745,3745
3746,3755,3746,3752
3752,3756,3748,3755
3755,3758,3748,3752
3753,3754,3749,3751
3751,3754,3748,3751
3752,3756,3748,3752
3752,3755,3751,3752
3752,3752,3744,3746
3746,3750,3744,3745
3746,3748,3737,3748
3749,3749,3741,3744
3744,3751,3743,3750
3751,3755,3750,3753
3754,3755,3750,3751
3752,3753,3746,3749
3749,3753,3747,3750
3751,3753,3750,3750
3750,3752,3743,3745
3745,3747,3740,3746
3746,3749,3741,3745
3745,3747,3739,3741
3742,3751,3741,3747
3748,3753,3745,3752
3753,3766,3752,3762
3762,3763,3758,3762
3762,3766,3759,3764
3765,3767,3762,3765
3764,3766,3757,3757
3757,3771,3757,3769
3769,3778,3767,3775
3775,3780,3774,3777
3777,3779,3769,3771
3770,3775,3769,3773
3772,3774,3769,3771
3772,3782,3772,3779
3780,3783,3777,3782
3782,3782,3775,3780
3780,3783,3777,3779
3779,3784,3779,3783
3782,3783,3780,3781
3780,3781,3767,3768
3768,3772,3757,3757
3757,3760,3749,3756
3755,3765,3754,3764
3764,3772,3762,3771
3771,3775,3768,3770
3771,3773,3767,3773
3772,3774,3762,3763
3762,3769,3761,3768
3768,3770,3763,3767
3767,3771,3758,3758
3759,3765,3758,3760
3760,3764,3758,3762
3759,3795,3755,3795
3797,3809,3790,3803
3804,3804,3790,3791
3791,3795,3777,3791
3790,3793,3780,3785
3785,3789,3782,3787
3788,3793,3781,3792
3792,3805,3788,3801
3800,3812,3791,3807
3806,3813,3804,3809
3808,3828,3808,3817
3817,3820,3812,3817
3818,3834,3816,3816
3816,3819,3803,3813
3812,3813,3798,3804
3802,3812,3801,3807
3806,3816,3800,3816
3817,3820,3811,3816
3815,3820,3806,3810
3810,3818,3809,3816
3816,3816,3805,3807
3807,3810,3793,3795
3795,3796,3783,3784
3784,3785,3771,3778
3779,3786,3773,3779
3778,3783,3775,3776
3777,3782,3774,3777
3777,3780,3769,3769
3769,3783,3766,3778
3778,3781,3771,3780
3782,3787,3772,3773
3773,3778,3768,3775
3774,3775,3769,3771
3771,3771,3763,3766
3766,3769,3762,3766
3766,3769,3760,3766
3765,3776,3763,3771
3772,3777,3771,3772
3773,3775,3768,3770
3770,3772,3767,3768
3768,3772,3767,3767
3767,3771,3766,3768
3767,3777,3766,3775
3776,3780,3774,3777
3778,3781,3777,3779
3779,3782,3777,3780
3781,3782,3776,3779
3779,3781,3771,3774
3774,3783,3773,3782
3782,3792,3781,3786
3786,3789,3778,3781
3781,3790,3779,3789
3789,3794,3786,3786
3783,3783,3775,3781
3782,3783,3781,3783
3783,3783,3780,3780
3780,3782,3780,3781
3781,3784,3780,3783
3784,3785,3783,3784
3785,3786,3782,3783
3783,3784,3782,3782
3782,3783,3781,3782
3782,3784,3781,3783
3783,3795,3783,3792
3792,3792,3790,3790
3790,3796,3788,3796
3796,3796,3793,3794
3794,3797,3793,3796
3797,3798,3795,3795
3795,3796,3793,3794
3794,3797,3793,3796
3796,3797,3794,3794
3794,3795,3792,3793
3792,3794,3792,3793
3793,3793,3791,3792
3792,3792,3790,3791
3790,3794,3790,3794
3794,3795,3793,3794
3794,3794,3790,3791
3792,3797,3791,3797
3797,3797,3795,3796
3796,3796,3794,3794
3794,3797,3793,3795
3796,3796,3792,3794
3794,3797,3794,3797
3796,3797,3794,3796
3796,3798,3795,3796
3796,3800,3794,3799
3799,3802,3798,3801
3801,3803,3799,3799
3800,3802,3799,3801
3801,3803,3800,3802
3802,3803,3801,3801
3801,3805,3801,3805
3805,3805,3802,3803
3803,3803,3798,3798
3799,3800,3796,3798
3798,3802,3798,3802
3802,3807,3801,3804
3804,3805,3803,3804
3804,3805,3801,3803
3803,3803,3800,3801
3802,3802,3800,3801
3802,3802,3796,3796
3796,3798,3794,3795
3796,3796,3791,3794
3794,3796,3793,3794
3794,3794,3788,3790
3788,3796,3788,3791
3791,3794,3790,3793
3793,3794,3788,3790
3789,3791,3788,3789
3790,3792,3784,3784
3784,3788,3783,3788
3788,3788,3784,3786
3787,3791,3786,3789
3789,3791,3786,3789
3789,3789,3783,3785
3786,3786,3779,3782
3781,3783,3772,3774
3774,3777,3771,3775
3774,3776,3772,3775
3775,3778,3773,3778
3778,3781,3777,3779
3779,3779,3776,3777
3778,3779,3772,3777
3776,3778,3773,3773
3774,3777,3773,3775
3775,3784,3774,3783
3783,3783,3779,3780
3780,3782,3779,3780
3780,3782,3778,3780
3780,3781,3774,3774
3775,3777,3769,3771
3769,3771,3764,3768
3768,3770,3767,3769
3769,3776,3765,3775
3775,3784,3774,3782
3782,3794,3782,3792
3791,3795,3791,3794
3793,3809,3791,3799
3799,3799,3786,3788
3786,3788,3781,3787
3787,3788,3774,3774
3774,3780,3774,3778
3777,3780,3776,3779
3779,3780,3774,3780
3780,3782,3777,3778
3778,3780,3775,3779
3779,3784,3777,3783
3782,3784,3779,3781
3781,3784,3781,3783
3783,3785,3778,3783
3783,3793,3781,3792
3793,3795,3791,3795
3795,3796,3791,3795
3796,3796,3791,3794
3794,3802,3793,3801
3802,3811,3801,3804
3805,3810,3804,3807
3807,3809,3799,3807
3807,3816,3804,3816
3816,3816,3811,3814
3815,3827,3812,3821
3820,3821,3816,3821
3820,3821,3816,3816
3816,3823,3815,3820
3819,3820,3811,3816
3817,3821,3815,3815
3815,3822,3814,3820
3821,3825,3810,3813
3813,3814,3807,3811
3810,3817,3810,3815
3815,3815,3811,3814
3814,3814,3808,3809
3809,3811,3805,3806
3806,3810,3803,3810
3810,3829,3810,3821
3821,3822,3805,3807
3805,3807,3792,3795
3795,3801,3793,3798
3798,3804,3798,3802
3802,3805,3801,3804
3804,3808,3800,3801
3800,3801,3791,3798
3798,3798,3787,3788
3787,3791,3783,3787
3786,3790,3783,3789
3788,3794,3785,3794
3794,3799,3791,3792
3791,3794,3788,3789
3789,3801,3788,3798
3798,3804,3797,3801
3802,3814,3802,3812
3811,3822,3809,3821
3821,3830,3815,3827
3827,3842,3827,3840
3840,3841,3832,3838
3838,3844,3834,3838
3838,3844,3837,3843
3844,3849,3836,3837
3837,3838,3827,3827
3827,3846,3827,3846
3847,3847,3817,3821
3821,3825,3817,3822
3821,3830,3817,3827
3827,3830,3824,3829
3828,3832,3819,3827
3827,3830,3821,3829
3829,3843,3822,3837
3837,3839,3831,3838
3838,3840,3835,3838
3838,3840,3829,3831
3831,3833,3827,3833
3833,3835,3831,3833
3834,3837,3830,3832
3832,3832,3818,3818
3818,3822,3817,3821
3821,3822,3815,3821
3822,3822,3818,3821
3821,3823,3817,3822
3822,3823,3818,3818
3818,3819,3815,3816
3816,3818,3813,3814
3814,3819,3812,3818
3818,3818,3810,3814
3813,3815,3811,3813
3812,3813,3804,3805
3805,3808,3803,3808
3808,3815,3803,3814
3814,3815,3809,3810
3810,3815,3808,3813
3822,3869,3822,3867
3868,3870,3867,3869
3869,3869,3865,3865
3866,3868,3864,3868
3868,3868,3865,3867
3867,3870,3867,3870
3869,3873,3869,3871
3872,3872,3868,3869
3869,3869,3867,3867
3868,3870,3867,3869
3869,3869,3866,3866
3866,3867,3864,3864
3864,3866,3864,3865
3865,3867,3864,3866
3866,3866,3863,3864
3864,3865,3861,3862
3862,3863,3861,3862
3862,3864,3862,3864
3864,3865,3863,3865
3865,3865,3862,3863
3863,3864,3862,3863
3863,3866,3862,3866
3865,3866,3863,3865
3864,3867,3863,3867
3867,3869,3865,3869
3869,3869,3866,3869
3869,3869,3866,3866
3866,3867,3863,3864
3864,3864,3859,3859
3860,3860,3855,3855
3855,3859,3855,3859
3858,3859,3856,3857
3857,3858,3856,3858
3858,3859,3856,3858
3858,3859,3857,3859
3859,3859,3854,3857
3857,3859,3853,3854
3854,3855,3853,3855
3855,3857,3854,3857
3857,3858,3856,3857
3857,3858,3857,3858
3858,3858,3855,3856
3855,3855,3851,3852
3853,3855,3852,3853
3853,3855,3852,3853
3853,3856,3852,3855
3855,3857,3854,3857
3857,3859,3856,3857
3857,3860,3857,3860
3860,3860,3853,3854
3854,3857,3854,3855
3855,3858,3853,3857
3857,3858,3854,3855
3855,3858,3854,3857
3857,3858,3844,3847
3848,3848,3843,3846
3846,3852,3844,3850
3850,3850,3846,3846
3846,3850,3845,3849
3850,3860,3847,3857
3858,3864,3856,3863
3864,3866,3860,3865
3865,3867,3862,3862
3862,3864,3860,3861
3862,3864,3860,3862
3862,3862,3858,3858
3858,3864,3850,3864
3864,3864,3857,3860
3860,3860,3852,3855
3855,3856,3853,3855
3855,3855,3848,3851
3851,3861,3850,3857
3857,3858,3852,3853
3853,3855,3851,3852
3852,3855,3851,3855
3855,3862,3852,3862
3863,3863,3859,3860
3860,3863,3852,3853
3851,3853,3845,3849
3848,3855,3842,3852
3853,3861,3849,3859
3858,3859,3855,3857
3857,3857,3848,3853
3853,3854,3849,3851
3851,3853,3849,3850
3850,3855,3849,3855
3855,3855,3852,3854
3854,3855,3847,3851
3851,3856,3850,3856
3855,3858,3854,3857
3856,3858,3853,3856
3856,3859,3855,3859
3858,3861,3853,3855
3855,3856,3848,3849
3848,3850,3845,3849
3849,3850,3847,3849
3849,3849,3846,3848
3848,3849,3846,3847
3847,3848,3844,3846
3846,3847,3839,3842
3842,3851,3842,3849
3848,3852,3844,3847
3847,3850,3843,3844
3844,3847,3843,3846
3846,3851,3844,3845
3845,3850,3844,3849
3849,3850,3844,3844
3844,3846,3842,3843
3843,3844,3840,3844
3844,3846,3842,3845
3844,3846,3842,3846
3846,3847,3843,3845
3845,3846,3842,3843
3843,3844,3841,3843
3843,3843,3836,3838
3838,3850,3834,3846
3845,3849,3839,3842
3842,3854,3842,3852
3853,3865,3852,3865
3867,3872,3860,3866
3867,3882,3866,3880
3880,3881,3870,3875
3875,3876,3858,3864
3863,3864,3854,3857
3857,3859,3851,3854
3854,3857,3852,3855
3850,3854,3832,3835
3836,3836,3823,3833
3834,3837,3831,3833
3833,3843,3828,3841
3842,3843,3837,3840
3839,3842,3835,3838
3840,3842,3833,3834
3834,3835,3826,3828
3827,3829,3821,3827
3827,3828,3813,3818
3817,3820,3813,3817
3817,3817,3805,3812
3812,3812,3797,3799
3799,3808,3795,3807
3807,3807,3797,3805
3806,3812,3804,3807
3807,3810,3803,3805
3805,3813,3798,3810
3792,3812,3779,3785
3786,3807,3777,3806
3806,3812,3799,3808
3809,3821,3805,3820
3821,3824,3814,3824
3824,3825,3813,3817
3817,3831,3816,3827
3827,3829,3819,3823
3823,3825,3812,3818
3818,3824,3816,3820
3820,3824,3817,3822
3822,3823,3814,3820
3821,3823,3806,3806
3807,3811,3800,3805
3805,3812,3803,3810
3810,3821,3805,3820
3821,3828,3820,3826
3826,3830,3823,3830
3830,3832,3825,3831
3830,3830,3826,3828
3828,3830,3819,3824
3824,3825,3816,3818
3818,3819,3813,3813
3814,3817,3809,3813
3813,3814,3805,3806
3806,3810,3800,3810
3810,3816,3809,3816
3816,3817,3811,3811
3811,3813,3807,3809
3808,3812,3807,3808
3808,3813,3803,3811
3810,3812,3805,3806
3806,3808,3800,3806
3806,3810,3804,3805
3805,3807,3800,3802
3799,3799,3775,3780
3781,3782,3780,3782
3782,3782,3780,3782
3782,3785,3781,3783
3783,3784,3780,3780
3781,3781,3778,3778
3779,3780,3778,3780
3780,3780,3778,3778
3778,3779,3775,3776
3775,3779,3772,3779
3779,3780,3777,3778
3779,3780,3778,3780
3780,3785,3780,3785
3784,3785,3781,3782
3783,3783,3781,3781
3781,3782,3779,3779
3779,3780,3778,3779
3779,3780,3777,3780
3780,3781,3779,3780
3780,3781,3779,3780
3780,3782,3778,3779
3779,3779,3776,3777
3778,3781,3777,3779
3780,3780,3778,3780
3780,3781,3779,3780
3780,3782,3779,3781
3781,3782,3780,3780
3780,3782,3779,3782
3782,3785,3781,3784
3784,3784,3782,3783
3783,3783,3780,3783
3783,3784,3782,3783
3783,3784,3781,3784
3784,3784,3782,3782
3783,3784,3782,3783
3783,3784,3782,3782
3782,3784,3780,3783
3783,3784,3782,3782
3782,3783,3780,3780
3780,3784,3780,3780
3781,3782,3780,3780
3780,3781,3779,3780
3780,3780,3775,3776
3776,3777,3773,3776
3776,3778,3774,3778
3778,3778,3772,3773
3773,3775,3772,3774
3774,3775,3769,3770
3770,3775,3768,3769
3769,3771,3767,3768
3768,3769,3764,3766
3766,3768,3763,3763
3763,3765,3763,3764
3765,3765,3755,3759
3760,3761,3755,3756
3756,3761,3751,3758
3758,3759,3756,3758
3758,3761,3757,3758
3759,3760,3756,3759
3759,3763,3758,3761
3761,3765,3760,3762
3762,3765,3758,3759
3759,3764,3758,3761
3761,3764,3761,3764
3763,3767,3762,3767
3766,3770,3765,3769
3769,3773,3767,3770
3770,3774,3767,3769
3770,3771,3768,3770
3769,3769,3762,3768
3768,3774,3767,3770
3770,3775,3769,3772
3772,3775,3768,3769
3769,3771,3766,3766
3766,3768,3761,3762
3762,3763,3757,3759
3759,3764,3758,3762
3762,3762,3760,3762
3762,3764,3755,3759
3759,3764,3757,3757
3757,3761,3754,3756
3755,3756,3748,3752
3751,3757,3751,3754
3754,3760,3752,3753
3753,3759,3750,3758
3758,3759,3757,3759
3759,3762,3756,3756
3756,3762,3756,3760
3760,3762,3759,3760
3760,3760,3756,3757
3757,3760,3750,3752
3753,3755,3750,3753
3753,3754,3747,3748
3747,3748,3740,3741
3742,3742,3731,3733
3733,3737,3727,3736
3736,3738,3732,3735
3735,3740,3732,3739
3740,3740,3735,3737
3738,3743,3737,3741
3741,3742,3736,3741
3740,3746,3740,3745
3746,3747,3742,3746
3747,3750,3742,3749
3750,3751,3745,3745
3745,3746,3738,3744
3744,3746,3738,3741
3740,3742,3736,3737
3736,3739,3731,3733
3733,3738,3732,3734
3734,3743,3734,3742
3743,3743,3736,3738
3738,3739,3735,3736
3736,3741,3735,3741
3739,3745,3736,3744
3743,3757,3743,3756
3756,3764,3755,3759
3760,3760,3751,3754
3754,3760,3752,3758
3757,3761,3756,3758
3758,3762,3754,3758
3760,3760,3751,3754
3754,3757,3749,3751
3752,3754,3747,3750
3750,3750,3740,3741
3741,3743,3727,3737
3736,3742,3728,3742
3741,3752,3737,3750
3751,3753,3732,3737
3737,3737,3728,3732
3732,3739,3731,3737
3737,3739,3731,3735
3737,3754,3735,3752
3752,3767,3751,3755
3755,3762,3746,3761
3761,3776,3761,3775
3774,3776,3766,3771
3771,3775,3765,3767
3765,3765,3748,3757
3757,3773,3755,3770
3769,3770,3751,3754
3754,3755,3745,3752
3751,3753,3745,3750
3751,3760,3750,3758
3758,3759,3748,3754
3754,3756,3740,3741
3741,3749,3735,3744
3744,3745,3737,3738
3738,3745,3737,3742
3741,3747,3739,3743
3742,3751,3741,3748
3748,3753,3743,3744
3744,3756,3744,3752
3752,3759,3750,3757
3757,3762,3754,3761
3761,3764,3753,3754
3754,3763,3751,3758
3758,3758,3747,3748
3749,3751,3745,3750
3749,3751,3741,3742
3743,3751,3742,3746
3746,3749,3744,3745
3744,3750,3742,3742
3742,3744,3734,3739
3739,3739,3727,3728
3727,3733,3719,3729
3729,3731,3721,3729
3729,3730,3726,3728
3728,3737,3728,3736
3736,3738,3724,3726
3726,3727,3718,3719
3718,3726,3717,3721
3720,3728,3714,3728
3727,3730,3723,3725
3725,3729,3720,3721
3720,3723,3717,3719
3720,3727,3718,3725
3726,3726,3720,3721
3720,3725,3719,3720
3739,3814,3739,3812
3812,3814,3810,3811
3811,3814,3810,3813
3813,3814,3812,3812
3812,3814,3811,3814
3814,3817,3812,3816
3816,3817,3814,3815
3815,3815,3813,3814
