lwma_10,lwma_12,lwma_13,lwma_20,lwma_26,lwma_30,lwma_40,lwma_50,lwma_60,lwma_70,lwma_80,lwma_90,lwma_100,lwma_110,lwma_120,lwma_130,lwma_140,lwma_150,lwma_160,lwma_170,lwma_180,lwma_190,lwma_200
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
3790.0545454545454,,,,,,,,,,,,,,,,,,,,,,
3789.3454545454547,,,,,,,,,,,,,,,,,,,,,,
3789.0363636363636,3789.1666666666665,,,,,,,,,,,,,,,,,,,,,
3788.163636363636,3788.4871794871797,3788.5714285714284,,,,,,,,,,,,,,,,,,,,
3787.5636363636363,3788.0,3788.131868131868,,,,,,,,,,,,,,,,,,,,
3787.4363636363637,3787.8333333333335,3788.0,,,,,,,,,,,,,,,,,,,,
3787.5636363636363,3787.846153846154,3788.0,,,,,,,,,,,,,,,,,,,,
3787.5636363636363,3787.74358974359,3787.868131868132,,,,,,,,,,,,,,,,,,,,
3787.418181818182,3787.5384615384614,3787.6373626373625,,,,,,,,,,,,,,,,,,,,
3786.6,3786.7820512820513,3786.8901098901097,,,,,,,,,,,,,,,,,,,,
3786.072727272727,3786.269230769231,3786.3846153846152,3787.2714285714287,,,,,,,,,,,,,,,,,,,
3785.2727272727275,3785.525641025641,3785.6593406593406,3786.6857142857143,,,,,,,,,,,,,,,,,,,
3784.5454545454545,3784.871794871795,3785.021978021978,3786.1285714285714,,,,,,,,,,,,,,,,,,,
3784.2909090909093,3784.6153846153848,3784.747252747253,3785.785714285714,,,,,,,,,,,,,,,,,,,
3783.8727272727274,3784.230769230769,3784.3846153846152,3785.3761904761905,,,,,,,,,,,,,,,,,,,
3785.1454545454544,3785.2948717948716,3785.3406593406594,3785.866666666667,,,,,,,,,,,,,,,,,,,
3786.163636363636,3786.1153846153848,3786.1098901098903,3786.2619047619046,3786.7321937321935,,,,,,,,,,,,,,,,,,
3787.1454545454544,3786.871794871795,3786.813186813187,3786.6619047619047,3786.985754985755,,,,,,,,,,,,,,,,,,
3787.5272727272727,3787.128205128205,3787.032967032967,3786.7714285714287,3787.008547008547,,,,,,,,,,,,,,,,,,
3787.890909090909,3787.397435897436,3787.252747252747,3786.890476190476,3787.02849002849,,,,,,,,,,,,,,,,,,
3787.8,3787.358974358974,3787.197802197802,3786.8238095238094,3786.905982905983,3787.0881720430107,,,,,,,,,,,,,,,,,
3787.490909090909,3787.1794871794873,3787.021978021978,3786.6761904761906,3786.7264957264956,3786.916129032258,,,,,,,,,,,,,,,,,
3786.9454545454546,3786.8205128205127,3786.7252747252746,3786.4380952380952,3786.4928774928776,3786.686021505376,,,,,,,,,,,,,,,,,
3787.4545454545455,3787.3846153846152,3787.2747252747254,3786.790476190476,3786.7264957264956,3786.8494623655915,,,,,,,,,,,,,,,,,
