open,high,low,close,quantity,dont-know,date-timeYear,date-timeMonth,date-timeWeek,date-timeDay,date-timeDayofweek,date-timeDayofyear,date-timeIs_month_end,date-timeIs_month_start,date-timeIs_quarter_end,date-timeIs_quarter_start,date-timeIs_year_end,date-timeIs_year_start,date-timeElapsed,prior_holidays,following_holidays
3844,3844,3784,3788,2725,23861,2020,1,5,27,0,27,False,False,False,False,False,False,1580095800,0,0
3789,3790,3786,3787,1456,24367,2020,1,5,27,0,27,False,False,False,False,False,False,1580096100,0,0
3788,3790,3787,3790,1118,24625,2020,1,5,27,0,27,False,False,False,False,False,False,1580096400,0,0
3790,3792,3789,3792,904,24930,2020,1,5,27,0,27,False,False,False,False,False,False,1580096700,0,0
3792,3793,3790,3792,601,25218,2020,1,5,27,0,27,False,False,False,False,False,False,1580097000,0,0
3792,3792,3791,3792,471,25365,2020,1,5,27,0,27,False,False,False,False,False,False,1580097300,0,0
3792,3792,3790,3790,578,25537,2020,1,5,27,0,27,False,False,False,False,False,False,1580097600,0,0
3790,3791,3790,3790,203,25662,2020,1,5,27,0,27,False,False,False,False,False,False,1580097900,0,0
3790,3791,3788,3789,555,25964,2020,1,5,27,0,27,False,False,False,False,False,False,1580098200,0,0
3790,3790,3788,3789,273,26083,2020,1,5,27,0,27,False,False,False,False,False,False,1580098500,0,0
3789,3790,3786,3786,415,26284,2020,1,5,27,0,27,False,False,False,False,False,False,1580098800,0,0
3786,3788,3786,3788,680,26464,2020,1,5,27,0,27,False,False,False,False,False,False,1580099100,0,0
3788,3788,3784,3785,711,26669,2020,1,5,27,0,27,False,False,False,False,False,False,1580099400,0,0
3785,3787,3783,3786,1248,26933,2020,1,5,27,0,27,False,False,False,False,False,False,1580099700,0,0
3786,3788,3786,3788,306,27047,2020,1,5,27,0,27,False,False,False,False,False,False,1580100000,0,0
3787,3790,3787,3789,928,27310,2020,1,5,27,0,27,False,False,False,False,False,False,1580100300,0,0
3789,3789,3788,3788,181,27399,2020,1,5,27,0,27,False,False,False,False,False,False,1580100600,0,0
3788,3789,3786,3787,247,27538,2020,1,5,27,0,27,False,False,False,False,False,False,1580100900,0,0
3787,3787,3783,3783,616,27643,2020,1,5,27,0,27,False,False,False,False,False,False,1580101200,0,0
3783,3786,3783,3784,657,27810,2020,1,5,27,0,27,False,False,False,False,False,False,1580101500,0,0
3784,3785,3781,3782,765,27955,2020,1,5,27,0,27,False,False,False,False,False,False,1580101800,0,0
3781,3783,3781,3782,631,28036,2020,1,5,27,0,27,False,False,False,False,False,False,1580102100,0,0
3782,3785,3782,3784,439,28243,2020,1,5,27,0,27,False,False,False,False,False,False,1580102400,0,0
3785,3785,3783,3783,224,28315,2020,1,5,27,0,27,False,False,False,False,False,False,1580102700,0,0
3783,3795,3783,3792,3195,28437,2020,1,5,27,0,27,False,False,False,False,False,False,1580103000,0,0
3792,3793,3789,3791,779,28543,2020,1,5,27,0,27,False,False,False,False,False,False,1580103300,0,0
3791,3792,3789,3791,717,28745,2020,1,5,27,0,27,False,False,False,False,False,False,1580103600,0,0
3791,3791,3787,3788,421,28832,2020,1,5,27,0,27,False,False,False,False,False,False,1580103900,0,0
3788,3789,3787,3788,293,28935,2020,1,5,27,0,27,False,False,False,False,False,False,1580104200,0,0
3788,3789,3785,3786,334,28986,2020,1,5,27,0,27,False,False,False,False,False,False,1580104500,0,0
3785,3787,3783,3785,664,29057,2020,1,5,27,0,27,False,False,False,False,False,False,1580104800,0,0
3784,3786,3784,3784,439,29162,2020,1,5,27,0,27,False,False,False,False,False,False,1580105100,0,0
3785,3790,3782,3790,761,29293,2020,1,5,27,0,27,False,False,False,False,False,False,1580105400,0,0
3788,3790,3786,3788,922,29350,2020,1,5,27,0,27,False,False,False,False,False,False,1580105700,0,0
3788,3790,3788,3788,392,29270,2020,1,5,27,0,27,False,False,False,False,False,False,1580106000,0,0
3788,3789,3785,3786,385,29308,2020,1,5,27,0,27,False,False,False,False,False,False,1580106300,0,0
3786,3790,3785,3789,501,29445,2020,1,5,27,0,27,False,False,False,False,False,False,1580106600,0,0
3789,3789,3786,3788,331,29619,2020,1,5,27,0,27,False,False,False,False,False,False,1580106900,0,0
3788,3790,3788,3790,395,29573,2020,1,5,27,0,27,False,False,False,False,False,False,1580107200,0,0
3789,3790,3786,3787,1650,30003,2020,1,5,27,0,27,False,False,False,False,False,False,1580107500,0,0
3788,3788,3781,3784,1817,30345,2020,1,5,27,0,27,False,False,False,False,False,False,1580107800,0,0
3785,3787,3783,3787,1150,30727,2020,1,5,27,0,27,False,False,False,False,False,False,1580108100,0,0
